address|lat|lon|state|district
Iyarpur B.O|22.298068|88.297198|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Madpur B.O|22.886714|88.064422|WEST BENGAL|HUGLI
Hatgachhi B.O|26.108448|87.770184|WEST BENGAL|UTTAR DINAJPUR
Bavka B.O|22.767655|74.188582|GUJARAT|DOHAD
Ghorabandha B.O|22.826226|86.380753|JHARKHAND|PURBI SINGHBHUM
Muthorai B.O|11.379645|76.669426|TAMIL NADU|KRISHNAGIRI
Magura B.O|23.119915|88.277747|WEST BENGAL|HUGLI
Ledi B.O|27.329568|83.77236|UTTAR PRADESH|KISHANGANJ
Futana B.O|20.995184|80.404831|MAHARASHTRA|GONDIYA
Chilim B.O|24.570625|84.864611|BIHAR|MUNGER
Chailabhar B.O|26.820801|84.603427|BIHAR|PASHCHIM CHAMPARAN
Laxmipurektanga B.O|27.145652|83.669417|UTTAR PRADESH|KISHANGANJ
Barmana S.O|31.415029|76.834616|HIMACHAL PRADESH|BILASPUR
Laxmipurkhurd B.O|27.402347|83.747802|UTTAR PRADESH|KISHANGANJ
Pandekota B.O|29.620539|79.415528|UTTARAKHAND|
Hatia B.O|25.558833|88.102287|WEST BENGAL|UTTAR DINAJPUR
Laxmipur (Maharajganj) S.O|27.172262|83.541356|UTTAR PRADESH|KISHANGANJ
Chotekapsi S.O|20.27|81.49|CHATTISGARH|KABEERDHAM
Magra S.O|22.983764|88.368939|WEST BENGAL|HUGLI
Gonda B.O|33.334478|74.599049|JAMMU & KASHMIR|RAJOURI
Pandari B.O|26.893819|81.260143|UTTAR PRADESH|BARA BANKI
Jalaberia B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Kishundaspur B.O|25.96836|81.24913|UTTAR PRADESH|RAE BARELI
Mohanchatti B.O|30.062947|78.387526|UTTARAKHAND|GARHWAL
Mohan Sankari B.O|29.868768|78.838264|UTTARAKHAND|GARHWAL
Bari Majherwin B.O|31.342943|76.762507|HIMACHAL PRADESH|BILASPUR
Dahan B.O|19.813382|85.831465|ODISHA|
Mahesh -1 S.O|22.732416|88.349993|WEST BENGAL|HUGLI
Mahesh 2 S.O|22.73335|88.352361|WEST BENGAL|HUGLI
Lvp Nagar B.O|27.144604|83.562174|UTTAR PRADESH|MAHRAJGANJ
Mundhon Kalan B.O|30.704649|76.717873|PUNJAB|SAHIBZADA AJIT SINGH NAGAR
Kilaarunachalapuram B.O|8.764166|78.134836|TAMIL NADU|THOOTHUKKUDI
Kilairal S.O|8.764166|78.134836|TAMIL NADU|THOOTHUKKUDI
Baraudi B.O|30.836571|76.634773|PUNJAB|CHANDIGARH
